Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,nan,112.70114942528735,-1.1097700639959724,-1.1097700639959724,1.0
20000,nan,nan,277.0833333333333,-3.5086107963903084,-3.5086107963903084,1.0
30000,nan,nan,299.0,-3.9760602333328943,-3.9760602333328943,1.0
40000,nan,nan,290.45714285714286,-3.5732349578072045,-3.5732349578072045,1.0
50000,nan,nan,299.0,-3.974705506773556,-3.974705506773556,1.0
60000,nan,nan,290.20588235294116,-3.8249996339573578,-3.8249996339573578,1.0
70000,nan,nan,299.0,-3.971211749495882,-3.971211749495882,1.0
80000,nan,nan,299.0,-3.9699996254023384,-3.9699996254023384,1.0
90000,nan,nan,299.0,-3.9681814421306956,-3.9681814421306956,1.0
100000,nan,nan,299.0,-3.9663632638526685,-3.9663632638526685,1.0
110000,nan,nan,299.0,-3.9699996218961826,-3.9699996218961826,1.0
120000,nan,nan,299.0,-3.955454170703888,-3.955454170703888,1.0
130000,nan,nan,299.0,-3.629999668309183,-3.629999668309183,1.0
140000,nan,nan,299.0,-3.9811761063687943,-3.9811761063687943,1.0
150000,nan,nan,290.20588235294116,-3.827352581655278,-3.827352581655278,1.0
160000,nan,nan,299.0,-3.9766663041981785,-3.9766663041981785,1.0
170000,nan,nan,299.0,-3.974705508526634,-3.974705508526634,1.0
180000,nan,nan,299.0,-3.680908744985407,-3.680908744985407,1.0
190000,nan,nan,299.0,-3.959090530872345,-3.959090530872345,1.0
